fecha,tenor_label,tenor_years,tea_nominal,tea_real,tamar_fwd,bei_spot,bei_fwd_lag,bei_tamar,dev_implicita,tc_real_drift
2026-05-22,3M,0.25,0.249838,-0.006998,0.253296,0.258646,0.245806,0.262129,,
2026-05-22,6M,0.5,0.255605,0.003483,0.290324,0.251247,0.238482,0.285845,,
2026-05-22,9M,0.75,0.259919,0.01483,0.304311,0.241507,0.228842,0.28525,,
2026-05-22,1Y,1.0,0.263248,0.026985,0.302119,0.230055,0.217506,0.267905,,
2026-05-22,18M,1.5,0.268364,0.053499,0.267971,0.203954,0.191672,0.203581,,
2026-05-22,2Y,2.0,0.273092,0.082611,0.213834,0.175946,0.16395,0.12121,,
2026-05-22,3Y,3.0,0.285896,0.147184,0.092695,0.120915,0.10948,-0.047498,,
2026-05-25,3M,0.25,0.24809,-0.052773,0.23867,0.317626,0.300948,0.307681,,
2026-05-25,6M,0.5,0.254438,0.000808,0.283227,0.253425,0.23756,0.282191,,
2026-05-25,9M,0.75,0.259683,0.03166,0.300285,0.221026,0.205571,0.260381,,
2026-05-25,1Y,1.0,0.26443,0.050883,0.2989,0.203206,0.187977,0.236007,,
2026-05-25,18M,1.5,0.27288,0.075702,0.26427,0.183301,0.168324,0.175297,,
2026-05-25,2Y,2.0,0.280198,0.096408,0.210226,0.167629,0.15285,0.103809,,
2026-05-25,3Y,3.0,0.292048,0.140356,0.093909,0.133021,0.11868,-0.040731,,
2026-05-26,3M,0.25,0.252828,-0.041229,0.219358,0.306702,0.290532,0.271792,0.295258,-0.008757
2026-05-26,6M,0.5,0.256196,-0.013029,0.254345,0.272778,0.257029,0.270904,0.283639,0.008533
2026-05-26,9M,0.75,0.259956,0.006887,0.272949,0.251337,0.235853,0.264242,0.283701,0.025864
2026-05-26,1Y,1.0,0.264894,0.022066,0.27842,0.237585,0.222271,0.250819,0.286649,0.039645
2026-05-26,18M,1.5,0.27525,0.045947,0.260236,0.219229,0.204142,0.204875,,
2026-05-26,2Y,2.0,0.283765,0.067192,0.216094,0.202937,0.188051,0.139527,,
2026-05-26,3Y,3.0,0.294677,0.109991,0.090197,0.166385,0.151952,-0.017832,,
2026-05-27,3M,0.25,0.250285,-0.025368,0.214458,0.282828,0.267317,0.246069,0.268698,-0.011014
2026-05-27,6M,0.5,0.256807,-0.012624,0.250955,0.272876,0.257485,0.266949,0.267208,-0.004452
2026-05-27,9M,0.75,0.260759,0.000117,0.271033,0.260612,0.245369,0.270884,0.276798,0.01284
2026-05-27,1Y,1.0,0.26307,0.012853,0.277777,0.247041,0.231963,0.261562,0.284102,0.029719
2026-05-27,18M,1.5,0.265419,0.038303,0.261156,0.218738,0.204002,0.214633,,
2026-05-27,2Y,2.0,0.267625,0.063711,0.217001,0.191701,0.177292,0.144109,,
2026-05-27,3Y,3.0,0.2784,0.114349,0.086571,0.147216,0.133345,-0.024928,,
2026-05-28,3M,0.25,0.254336,-0.029466,0.222203,0.292418,0.277157,0.259309,,
2026-05-28,6M,0.5,0.258631,-0.017319,0.269122,0.280814,0.26569,0.291489,,
2026-05-28,9M,0.75,0.259619,-0.005114,0.286938,0.266094,0.251144,0.293553,,
2026-05-28,1Y,1.0,0.261519,0.007146,0.285928,0.252568,0.237777,0.276804,,
2026-05-28,18M,1.5,0.266939,0.031816,0.252908,0.227874,0.213375,0.214275,,
2026-05-28,2Y,2.0,0.2732,0.056657,0.202302,0.204933,0.190705,0.137836,,
2026-05-28,3Y,3.0,0.286413,0.106739,0.096066,0.162345,0.14862,-0.009644,,
2026-05-29,3M,0.25,0.227526,-0.036837,0.232335,0.274473,0.259785,0.279467,,
2026-05-29,6M,0.5,0.238593,-0.029213,0.282162,0.275864,0.26116,0.320744,,
2026-05-29,9M,0.75,0.250533,-0.019207,0.301618,0.275023,0.260328,0.327108,,
2026-05-29,1Y,1.0,0.263287,-0.007048,0.300914,0.272253,0.25759,0.310147,,
2026-05-29,18M,1.5,0.291007,0.022901,0.265168,0.262104,0.247558,0.236843,,
2026-05-29,2Y,2.0,0.32133,0.059124,0.208961,0.247569,0.23319,0.141472,,
2026-05-29,3Y,3.0,0.388296,0.145433,0.088874,0.212027,0.198059,-0.049378,,
2026-05-30,3M,0.25,0.236936,-0.03806,0.229311,0.285877,0.270006,0.27795,,
2026-05-30,6M,0.5,0.250772,-0.024499,0.28204,0.282185,0.266358,0.314237,,
2026-05-30,9M,0.75,0.255867,-0.010871,0.300878,0.26967,0.253998,0.315176,,
2026-05-30,1Y,1.0,0.256633,0.002818,0.29843,0.253102,0.237635,0.294782,,
2026-05-30,18M,1.5,0.254618,0.030357,0.259965,0.217654,0.202624,0.222843,,
2026-05-30,2Y,2.0,0.254736,0.058079,0.20391,0.185863,0.171225,0.137826,,
2026-05-30,3Y,3.0,0.26788,0.113919,0.090415,0.138215,0.124166,-0.0211,,
2026-05-31,3M,0.25,0.240969,-0.049852,0.229721,0.306079,0.288891,0.294241,,
2026-05-31,6M,0.5,0.250693,-0.013506,0.281902,0.267817,0.251132,0.299452,,
2026-05-31,9M,0.75,0.255679,0.003832,0.300577,0.250886,0.234424,0.295613,,
2026-05-31,1Y,1.0,0.257994,0.016872,0.298133,0.237121,0.22084,0.276594,,
2026-05-31,18M,1.5,0.259604,0.043062,0.259778,0.207602,0.191709,0.207769,,
2026-05-31,2Y,2.0,0.261503,0.068144,0.203746,0.181024,0.165481,0.126951,,
2026-05-31,3Y,3.0,0.27267,0.099233,0.089996,0.15778,0.142543,-0.008403,,
2026-06-01,3M,0.25,0.244501,-0.038321,0.23329,0.294092,0.279177,0.282435,,
2026-06-01,6M,0.5,0.252089,-0.008848,0.28316,0.263266,0.248707,0.294614,,
2026-06-01,9M,0.75,0.256385,0.006711,0.301149,0.248009,0.233626,0.292475,,
2026-06-01,1Y,1.0,0.259842,0.019346,0.29873,0.235932,0.221688,0.274081,,
2026-06-01,18M,1.5,0.265891,0.04518,0.260856,0.21117,0.197211,0.206353,,
2026-06-01,2Y,2.0,0.271471,0.069776,0.204915,0.188539,0.174841,0.126324,,
2026-06-01,3Y,3.0,0.282046,0.100139,0.089965,0.165349,0.151919,-0.009248,,
2026-06-02,3M,0.25,0.243571,-0.04161,0.222493,0.297562,0.282608,0.275569,,
2026-06-02,6M,0.5,0.251119,-0.011077,0.272985,0.265134,0.250553,0.287245,,
2026-06-02,9M,0.75,0.255465,0.004478,0.294134,0.249868,0.235463,0.288365,,
2026-06-02,1Y,1.0,0.25899,0.01693,0.295289,0.238031,0.223763,0.273726,,
2026-06-02,18M,1.5,0.265192,0.042649,0.26226,0.21344,0.199455,0.210628,,
2026-06-02,2Y,2.0,0.270931,0.067491,0.206831,0.190578,0.176856,0.13053,,
2026-06-02,3Y,3.0,0.281831,0.098783,0.084074,0.166591,0.153146,-0.013387,,
2026-06-03,3M,0.25,0.245702,-0.04165,0.232272,0.29984,0.284859,0.285827,,
2026-06-03,6M,0.5,0.25314,-0.010183,0.282249,0.266032,0.251441,0.29544,,
2026-06-03,9M,0.75,0.258463,0.005251,0.298296,0.251889,0.237461,0.291514,,
2026-06-03,1Y,1.0,0.263014,0.017331,0.293643,0.241498,0.22719,0.271605,,
2026-06-03,18M,1.5,0.270772,0.042184,0.253031,0.219335,0.205282,0.202313,,
2026-06-03,2Y,2.0,0.277224,0.066003,0.197242,0.198143,0.184335,0.123114,,
2026-06-03,3Y,3.0,0.287166,0.094668,0.087513,0.17585,0.162298,-0.006536,,
2026-06-04,3M,0.25,0.25371,-0.04071,0.233645,0.306914,0.291852,0.285998,,
2026-06-04,6M,0.5,0.264002,-0.007809,0.291625,0.273951,0.259269,0.301791,,
2026-06-04,9M,0.75,0.266583,0.008289,0.309187,0.256171,0.241694,0.298425,,
2026-06-04,1Y,1.0,0.265471,0.020477,0.303207,0.240077,0.225785,0.277057,,
2026-06-04,18M,1.5,0.260758,0.044839,0.257927,0.206653,0.192747,0.203944,,
2026-06-04,2Y,2.0,0.258923,0.068053,0.19844,0.178708,0.165123,0.122079,,
2026-06-04,3Y,3.0,0.269267,0.096083,0.085746,0.158002,0.144656,-0.009431,,
